FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,Income_BP,TOTAL_INCOME_OS,Aggregate_Income,TI_special_rates,tax_TI_special_rates,GTI,TTI,pitax
294863304,0,0,0,580000,236538,656538,0,0,816538,656538,57997
320341422,0,0,0,554477,17510,411987,0,0,571987,411987,11535
297257657,0,288500,0,0,83002,315033,0,0,371502,315033,1548
310487960,0,0,0,2289874,28438,2129562,0,0,2318312,2129562,477785
324692457,0,0,0,0,22369,0,0,0,22369,0,0
327502150,0,280000,0,0,0,280000,0,0,280000,280000,0
272916854,0,0,0,0,882236,853208,0,0,882236,853208,98511
326402151,0,0,0,27123965,801440,27505077,0,0,27725405,27505077,9566642
337504911,0,215921,0,0,18805,234455,0,0,234726,234455,0
334745383,0,0,0,0,44,0,0,0,44,0,0
275115160,0,839264,0,0,0,732896,0,0,839264,732896,73727
324435355,0,0,0,581699,692,575489,0,0,582391,575489,41301
313583493,0,0,0,0,0,0,0,0,0,0,0
336654059,0,0,0,475487,0,370487,0,0,475487,370487,7260
274477283,0,747627,0,0,0,666923,0,0,747627,666923,60136
338805533,0,0,0,427650,0,427650,0,0,427650,427650,13148
300417433,1,0,0,0,349906,348670,0,0,349906,348670,0
282042260,1,167513,0,0,113881,272564,0,0,281394,272564,0
317515200,0,705158,0,0,22449,578181,0,0,727607,578181,41855
330718882,0,0,0,0,296906,296906,0,0,296906,296906,0
339233417,0,0,0,484132,2567,167246,0,0,286699,167246,0
292080936,0,1121472,-144639,0,0,776833,0,0,976833,776833,82778
318632697,0,0,0,0,1365,0,0,0,1365,0,0
310169142,0,1308106,-200000,0,0,958106,0,0,1108106,958106,120120
271794559,0,4077211,0,0,0,3927211,0,0,4077211,3927211,1033258
312384548,0,0,0,475510,65254,462570,14957,2244,555721,477527,19056
326827825,0,0,0,290700,31034,298842,0,0,321734,298842,791
363021694,0,836753,0,0,0,802285,0,0,836753,802285,88021
267890042,0,1469268,-81851,0,62571,1269441,0,0,1449988,1269441,212007
302693880,0,0,0,0,25684,0,0,0,25684,0,0
286691234,0,1295184,-129844,0,0,1009340,0,0,1165340,1009340,131636
310841951,0,0,0,4245278,0,4056385,0,0,4206385,4056385,1073173
337231157,0,101160,0,0,59,101160,0,0,101219,101160,0
316471548,0,0,0,1348614,6972,1204855,0,0,1355586,1204855,192050
313912951,0,0,0,1298548,14834,1153382,0,0,1313382,1153382,176145
314930257,0,0,0,1088328,0,899260,0,0,1074308,899260,107998
286451299,0,0,0,0,740,0,0,0,740,0,0
334107174,0,0,102304,630080,106644,654028,1400000,140000,2239028,2054028,201680
286041096,0,230800,0,1251844,579039,1890662,0,0,2061683,1890662,403965
291088553,0,1652789,0,0,0,1431946,0,0,1652789,1431946,262221
287515142,0,434208,0,0,0,331230,0,0,434208,331230,3217
322053659,0,1427088,-200000,0,0,1043714,0,0,1227088,1043714,142258
289000707,0,973297,0,0,0,823297,0,0,973297,823297,92349
311520717,0,1632248,0,0,79010,1544637,0,0,1711258,1544637,297043
280016398,0,1186560,0,0,0,988410,0,0,1186560,988410,126362
278448034,0,460500,0,0,15717,316217,0,0,476217,316217,1670
295909804,0,1227272,0,0,0,1077272,0,0,1227272,1077272,152627
293173812,0,475009,0,0,71727,386736,0,0,546736,386736,9878
300836543,0,772684,0,0,4512,572684,0,0,777196,572684,40723
273750778,0,406738,0,0,0,311060,0,0,406738,311060,1139
295609803,0,0,0,0,80900,66529,0,0,80900,66529,0
280989975,1,658559,0,0,621948,1128211,0,0,1280507,1128211,163217
291256239,1,172200,200900,0,2441195,2654295,0,0,2814295,2654295,634777
332395615,0,0,0,0,1469,0,0,0,1469,0,0
332904022,0,0,0,0,0,0,0,0,0,0,0
296396486,0,728850,0,0,10557,583492,0,0,739407,583492,42949
306308899,1,0,0,0,851941,691941,0,0,851941,691941,60140
275402183,0,0,0,0,72210,72000,0,0,72210,72000,0
285663383,0,0,0,65700,0,65700,0,0,65700,65700,0
309651884,0,0,0,0,261280,89501,0,0,261280,89501,0
269433663,0,765462,0,0,74245,684078,0,0,839707,684078,63670
290250912,0,1589581,-39389,0,47922,1373111,0,0,1598114,1373111,244041
273988639,0,781120,0,0,0,631120,0,0,781120,631120,52761
329208663,0,0,0,686577,67634,753598,61603,12321,815814,815201,90681
277720381,0,682718,0,0,0,532718,0,0,682718,532718,32490
275524760,0,1030563,-4211,0,59370,934192,0,0,1085722,934192,115194
278180852,0,0,0,0,727774,707210,0,0,727774,707210,68435
284984654,0,2682294,6032,0,6801,2513929,0,0,2695127,2513929,596554
324064779,0,0,0,0,138585,0,0,0,138585,0,0
278685363,0,3392777,0,0,115714,3336735,0,0,3508491,3336735,850801
274320512,0,0,0,0,3784,0,0,0,3784,0,0
285085203,0,0,0,993699,1089799,1884217,0,0,2044217,1884217,401973
295492757,0,0,0,409003,0,409003,0,0,409003,409003,11227
309511009,0,0,0,399470,0,393027,0,0,399470,393027,9582
337137704,0,0,0,0,9708,0,0,0,9708,0,0
278405923,1,0,0,0,2270435,2261695,0,0,2270435,2261695,513464
328876743,0,0,0,0,0,0,0,0,0,0,0
325017761,0,1172505,-180000,0,0,828042,0,0,992505,828042,93327
325789714,0,0,0,343775,173,343775,0,0,343948,343775,4509
306776462,0,0,0,900924,0,803933,0,0,900924,803933,88360
277739391,0,1513096,-147519,0,0,1215577,0,0,1365577,1215577,195363
296401634,0,547522,0,0,0,454658,0,0,547522,454658,15930
308432460,0,0,0,3813981,328819,3925647,0,0,4075647,3925647,1045135
284048578,0,456899,0,0,0,313307,0,0,456899,313307,1371
319343520,0,461871,0,10000,0,471871,0,0,471871,471871,35405
297374039,0,0,0,0,114201,106027,0,0,114201,106027,0
277371953,0,790555,0,0,0,515555,0,0,790555,515555,28954
280144796,0,982518,0,0,0,832518,0,0,982518,832518,94249
313065573,0,0,0,0,0,0,0,0,0,0,0
276655948,1,0,0,0,84364,74364,0,0,84364,74364,0
338763271,0,0,0,1240189,16252,946742,0,0,1099688,946742,117779
278569516,1,280180,32235,0,357303,492573,0,0,669718,492573,14685
319157213,0,0,0,0,1362,1362,0,0,1362,1362,0
287550931,1,100000,0,0,248000,348000,0,0,348000,348000,0
279422489,0,809780,0,0,0,659780,0,0,809780,659780,58665
289398493,0,995043,-35321,0,16451,793604,0,0,976173,793604,86232
293830574,0,0,0,298670,0,298670,0,0,298670,298670,0
318555518,0,425256,0,0,0,280558,0,0,425256,280558,0
300499210,0,0,0,0,614552,551552,0,0,614552,551552,36370
318893723,0,741125,0,0,0,520590,0,0,741125,520590,29992
306583795,0,0,0,0,0,0,0,0,0,0,0
291918874,0,1272752,-65156,0,0,1047852,0,0,1207596,1047852,143536
271123274,1,340769,-132763,0,0,157506,0,0,208006,157506,0
332880736,0,0,168588,0,2236036,2254521,0,0,2404624,2254521,516397
321638347,0,0,0,0,207716,70725,0,0,207716,70725,0
298154643,1,643179,0,0,0,493179,0,0,643179,493179,14747
341255569,0,0,0,0,125860,125860,0,0,125860,125860,0
296160276,1,0,228447,0,13789,232236,0,0,242236,232236,0
